Таблица опыта ремесла

Кривая: 100 x 1,075^ур + 10 x ур, и сверх того удвоение каждые 25 ступеней.
«За ступень» — сколько надо набрать, стоя на предыдущей.
«Всего» — вся дорога с первой.
«Множитель» — во сколько раз этот участок дороже ровной кривой.

ступень     за ступень            всего   множитель
----------------------------------------------------
1                  100              100          1x
2                  117              217          1x
3                  135              352          1x
4                  154              506          1x
5                  173              679          1x
6                  193              872          1x
7                  214            1,086          1x
8                  235            1,321          1x
9                  258            1,579          1x
10                 281            1,860          1x
11                 306            2,166          1x
12                 331            2,497          1x
13                 358            2,855          1x
14                 386            3,241          1x
15                 415            3,656          1x
16                 445            4,101          1x
17                 478            4,579          1x
18                 511            5,090          1x
19                 547            5,637          1x
20                 585            6,222          1x
21                 624            6,846          1x
22                 666            7,512          1x
23                 710            8,222          1x
24                 757            8,979          1x
25                 807            9,786          1x
26               1,719           11,505          2x
27               1,831           13,336          2x
28               1,949           15,285          2x
29               2,075           17,360          2x
30               2,208           19,568          2x
31               2,350           21,918          2x
32               2,502           24,420          2x
33               2,663           27,083          2x
34               2,835           29,918          2x
35               3,018           32,936          2x
36               3,213           36,149          2x
37               3,422           39,571          2x
38               3,644           43,215          2x
39               3,882           47,097          2x
40               4,137           51,234          2x
41               4,408           55,642          2x
42               4,699           60,341          2x
43               5,010           65,351          2x
44               5,343           70,694          2x
45               5,699           76,393          2x
46               6,080           82,473          2x
47               6,489           88,962          2x
48               6,927           95,889          2x
49               7,396          103,285          2x
50               7,899          111,184          2x
51              16,875          128,059          4x
52              18,031          146,090          4x
53              19,270          165,360          4x
54              20,600          185,960          4x
55              22,026          207,986          4x
56              23,556          231,542          4x
57              25,197          256,739          4x
58              26,959          283,698          4x
59              28,850          312,548          4x
60              30,880          343,428          4x
61              33,059          376,487          4x
62              35,399          411,886          4x
63              37,911          449,797          4x
64              40,608          490,405          4x
65              43,505          533,910          4x
66              46,615          580,525          4x
67              49,957          630,482          4x
68              53,545          684,027          4x
69              57,400          741,427          4x
70              61,541          802,968          4x
71              65,990          868,958          4x
72              70,769          939,727          4x
73              75,904        1,015,631          4x
74              81,421        1,097,052          4x
75              87,349        1,184,401          4x
76             187,436        1,371,837          8x
77             201,124        1,572,961          8x
78             215,832        1,788,793          8x
79             231,638        2,020,431          8x
80             248,622        2,269,053          8x
81             266,875        2,535,928          8x
82             286,491        2,822,419          8x
83             307,572        3,129,991          8x
84             330,228        3,460,219          8x
85             354,577        3,814,796          8x
86             380,746        4,195,542          8x
87             408,872        4,604,414          8x
88             439,101        5,043,515          8x
89             471,592        5,515,107          8x
90             506,513        6,021,620          8x
91             544,048        6,565,668          8x
92             584,392        7,150,060          8x
93             627,755        7,777,815          8x
94             674,365        8,452,180          8x
95             724,464        9,176,644          8x
96             778,315        9,954,959          8x
97             836,199       10,791,158          8x
98             898,418       11,689,576          8x
99             965,297       12,654,873          8x
100          1,037,186       13,692,059          8x
