id,имя,раса,размер,уровень,диапазон уровней,мощь,здоровье,тип удара,урон,второй удар,сила удара игровая,сила,выносливость,ловкость,точность,ум,воля,ведёт,пробитие,что открывает,модель оружия
1445,Elephant,animal,Giant,40,,462,2398,колющий,31-44,"дробящий 31-44,",700,82,64,6,10,8,8,сила,533,ткань Т5; кожа Т5; кольчуга Т5; чешуя Т5; полулаты Т4; латы Т4,нет
1029,Cyclops,mythological,Giant,43,,3213,6615,дробящий,"59-74,","дробящий 48-63,",1500,84,66,6,10,8,8,сила,546,ткань Т5; кожа Т5; кольчуга Т5; чешуя Т5; полулаты Т5; латы Т4,нет
1425,GiantSandWorm (GiantSandworm),insect,Giant,46,,1700,2231,колющий,"50-67,","дробящий 49-63,",2000,87,68,6,11,9,9,сила,566,ткань Т5; кожа Т5; кольчуга Т5; чешуя Т5; полулаты Т5; латы Т4,нет
1457,GiantCrab,animal,Giant,47,,1503,2289,режущий,"48-72,",,2000,88,68,6,11,9,9,сила,572,ткань Т5; кожа Т5; кольчуга Т5; чешуя Т5; полулаты Т5; латы Т4,нет
1248,Wyvern,lizard,Giant,49,,1496,2320,режущий,"43-76,",,1500,89,69,6,11,9,9,сила,578,ткань Т5; кожа Т5; кольчуга Т5; чешуя Т5; полулаты Т5; латы Т4,есть
1414,Desert Dragon (DesertDragon),lizard,Giant,55,,2084,4125,режущий,"45-86,","режущий 40-79,",1000,94,73,7,12,9,9,сила,611,ткань Т5; кожа Т5; кольчуга Т5; чешуя Т5; полулаты Т5; латы Т4,есть
1448,Forest Dragon (ForestDragon),lizard,Giant,55,,2085,4000,режущий,45-68,"яд 22-34,",1000,94,73,7,12,9,9,сила,611,ткань Т5; кожа Т5; кольчуга Т5; чешуя Т5; полулаты Т5; латы Т4,есть
1873,LavaDragon,lizard,Giant,55,,2084,4500,режущий,28-45,"огонь 28-45,",1000,94,73,7,12,9,9,сила,611,ткань Т5; кожа Т5; кольчуга Т5; чешуя Т5; полулаты Т5; латы Т4,есть
1031,Mountain Dragon,lizard,Giant,55,,2236,2800,режущий,"42-84,","режущий 60-90,",1000,94,73,7,12,9,9,сила,611,ткань Т5; кожа Т5; кольчуга Т5; чешуя Т5; полулаты Т5; латы Т4,есть
1043,Brown Bear,animal,Large,14,,196,650,режущий,"36-50,","режущий 36-48,",150,38,32,9,10,5,5,сила,144,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,есть
1221,Barghest,animal,Large,15,,317,650,режущий,"25-46,",,60,38,33,10,10,5,5,сила,144,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,есть
1226,Giant Bat (Giant bat),animal,Large,15,,186,650,режущий,"30-46,","режущий 16-21,",70,38,33,10,10,5,5,сила,144,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,есть
1937,HippopotamusSpirit,none,Large,17,,400,1200,колющий,26-32,"дробящий 30-42,",450,39,34,10,10,5,5,сила,148,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,есть
1580,MediumSpider,insect,Large,17,,212,507,колющий,"34-50,",,60,39,34,10,10,5,5,сила,148,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,нет
1175,Basilisk,lizard,Large,18,,397,609,режущий,"24-31,","режущий 26-40,",115,40,34,10,10,5,5,сила,152,ткань Т5; кожа Т5; кольчуга Т3; чешуя Т3; полулаты Т2; латы Т2,есть
