# ui_ru.tsv — текст интерфейса по КЛЮЧУ локализации игры.
# Колонки: ключ | русский текст.
#
# Самый точный из механизмов мода. Игра берёт текст интерфейса по ключам
# своей системы локализации (I2), и ключ приходит в патч до того, как
# превратится в русскую строку. Это решает случай, который подменой текста
# не решается: одно русское слово стоит за разными сущностями.
#
# Так вышло с «Выносливостью»: ею подписаны и атрибут Endurance, и запас
# сил SP. Правило по тексту переименовывало оба — правило по ключу трогает
# только атрибут.
#
# Ключи — это имена из перечислений игры (HumanAttributeType,
# AddonAttribute) и термины I2. Файл обязан лежать рядом с DLL.
# --- атрибуты ---
Endurance	Телосложение
Precision	Восприятие
Willpower	Мудрость
Agility	Ловкость
Intelligence	Интеллект
# --- навыки ---
Insight	Проницательность
Scholarly	Грамотность
Bargain	Торг
Sneak	Скрытность
Theft	Воровство
Training	Тренировка
Torture	Дознание
Cooking	Кулинария
Medical	Медицина
Smithing	Кузнечное дело
Alchemy	Алхимия
Volition	Воля
# «интеллект=Интеллект» оставлен в translations.txt: он ловит ещё и
# сокращение Int, у которого тот же русский текст.
AlyanasTrial	Испытания Альянас
Ironrealm mountains	горы Железного Царства
BasilsArena	Арена Бэзила

# --- шаблоны заданий гильдии (minor_quest_*) ---
# Побочные задания игра собирает из шаблона, подставляя названия ИМЕНИТЕЛЬНЫМ
# падежом: «Спасите Житель из Тролль», «Сопроводите Большой груз до Золотая
# Гавань». Склонять подставляемое нам нечем, поэтому шаблоны переписаны так,
# чтобы именительный падеж в них был уместен: подстановка выносится за
# двоеточие, а падеж берёт на себя слово перед ним («Спасите: X»,
# «Пункт назначения: X»). Заодно исправлен порядок слотов у heirloom:
# в entryDes стояло «Верните украденный <враг> из <вещь>» — слоты перепутаны
# самим переводом игры.
#
# Ключи с суффиксом _des — описание задания, _entryDes — строка цели в
# журнале. Номера слотов у них разные ({[0]},{[1]} против {[2]},{[3]}) —
# это не опечатка, так в оригинале.
#
# Прежние правила на собранные строки (translations.txt, StolenTreasureSwapRegex)
# намеренно оставлены: если шаблон почему-то не перехватится, они сработают
# по-старому.
minor_quest_ambush_des	Устройте засаду на отряд: {[2]}.
minor_quest_ambush_entryDes_accepted	Устройте засаду на отряд: {[0]}. Маршрут: {[1]} — {[2]}.
minor_quest_arrest_des	Арестуйте: {[2]}.
minor_quest_arrest_entryDes	Арестуйте: {[0]}.
minor_quest_completed	Завершён
minor_quest_debt_collection_des	Взыщите долг: {[3]}. Должник: {[2]}.
minor_quest_debt_collection_entryDes	Взыщите долг: {[1]}. Должник: {[0]}.
minor_quest_defense_des	Отразите нападение. Место: {[2]}.
minor_quest_defense_entryDes	Отправьтесь на место ({[0]}) и разбейте всех подступающих врагов.
minor_quest_delivery_des	Доставьте груз: {[2]}. Пункт назначения: {[3]}.
minor_quest_delivery_entryDes	Доставьте груз: {[0]}. Пункт назначения: {[1]}.
minor_quest_dungeon_des	Зачистите логово. Место: {[2]}.
minor_quest_dungeon_entryDes	Зачистите логово. Место: {[0]}.
minor_quest_escort_caravan_des	Сопроводите караван. Груз: {[2]}. Пункт назначения: {[3]}.
minor_quest_escort_caravan_entryDes	Сопроводите караван. Груз: {[0]}. Пункт назначения: {[1]}.
minor_quest_escort_good_des	Сопроводите груз: {[2]}. Пункт назначения: {[3]}.
minor_quest_escort_good_entryDes	Сопроводите груз: {[0]}. Пункт назначения: {[1]}.
minor_quest_escort_npc_des	Сопроводите спутника: {[2]}. Пункт назначения: {[3]}.
minor_quest_escort_npc_entryDes	Сопроводите спутника: {[0]}. Пункт назначения: {[1]}.
minor_quest_fetch_des	Соберите и доставьте: {[3]} (нужно: {[2]}).
minor_quest_fetch_entryDes	Соберите: {[1]} (нужно: {[0]}).
minor_quest_heirloom_des	Верните похищенное: {[3]}. Отобрать у: {[2]}.
minor_quest_heirloom_entryDes	Верните похищенное: {[1]}. Отобрать у: {[0]}.
minor_quest_kill_des	Уничтожьте противника, бродящего по округе. Цель: {[2]}.
minor_quest_kill_entryDes	Уничтожьте противника: {[0]}.
minor_quest_rescue_des	Спасите: {[3]}. Захватчики: {[2]}.
minor_quest_rescue_entryDes	Спасите: {[1]}. Захватчики: {[0]}.
minor_quest_smuggle_des	Переправьте груз: {[2]}. Пункт назначения: {[3]}.
minor_quest_smuggle_entryDes	Переправьте груз: {[0]}. Пункт назначения: {[1]}.
minor_quest_transport_des	Отнесите в указанное место: {[3]} (нужно: {[2]}).
minor_quest_transport_entryDes	Отнесите в указанное место: {[1]} (нужно: {[0]}).

# --- правки после осмотра в игре ---
MP	Мана
Light	Лёгкая
Medium	Средняя
Heavy	Тяжёлая
ArmourType_Light	Лёгкая
ArmourType_Medium	Средняя
ArmourType_Heavy	Тяжёлая
